id,ubicacion,prioridad,tipo,timestamp,estado
I-0036,Z-34,2,inundacion,2026-07-03T18:54,pendiente
I-0037,Z-11,4,fuga_gas,2026-07-02T09:08,pendiente
I-0038,Z-07,2,rescate,2026-07-03T15:46,pendiente
I-0039,Z-03,3,incendio,2026-07-03T07:24,pendiente
I-0040,Z-40,3,inundacion,2026-07-02T01:52,pendiente
I-0041,Z-18,2,derrumbe,2026-07-04T04:51,pendiente
I-0042,Z-16,4,fuga_gas,2026-07-03T13:59,pendiente
I-0043,Z-48,3,fuga_gas,2026-07-04T02:56,pendiente
I-0044,Z-17,1,rescate,2026-07-03T05:59,pendiente
I-0045,Z-38,5,inundacion,2026-07-02T10:19,pendiente
I-0046,Z-26,5,emergencia_medica,2026-07-02T02:14,pendiente
I-0047,Z-04,5,inundacion,2026-07-01T18:57,pendiente
I-0048,Z-31,4,fuga_gas,2026-07-03T08:38,pendiente
I-0049,Z-37,5,rescate,2026-07-01T13:00,pendiente
I-0050,Z-44,5,fuga_gas,2026-07-02T20:54,pendiente
I-0051,Z-35,2,incendio,2026-07-02T14:57,pendiente
I-0052,Z-34,2,fuga_gas,2026-07-03T22:05,pendiente
I-0053,Z-11,1,accidente_vehicular,2026-07-03T18:37,pendiente
I-0054,Z-15,4,inundacion,2026-07-04T04:21,pendiente
I-0055,Z-07,5,inundacion,2026-07-03T03:06,pendiente
I-0056,Z-49,3,fuga_gas,2026-07-02T20:26,pendiente
I-0057,Z-10,3,accidente_vehicular,2026-07-02T13:21,pendiente
I-0058,Z-43,5,inundacion,2026-07-03T10:38,pendiente
I-0059,Z-08,5,derrumbe,2026-07-02T23:56,pendiente
I-0060,Z-42,3,emergencia_medica,2026-07-02T02:18,pendiente
I-0061,Z-18,4,fuga_gas,2026-07-02T07:37,pendiente
I-0062,Z-10,5,accidente_vehicular,2026-07-03T09:03,pendiente
I-0063,Z-26,4,derrumbe,2026-07-03T01:11,pendiente
I-0064,Z-04,3,derrumbe,2026-07-04T02:32,pendiente
I-0065,Z-09,4,fuga_gas,2026-07-01T12:00,pendiente
I-0066,Z-41,2,rescate,2026-07-03T00:32,pendiente
I-0067,Z-17,1,derrumbe,2026-07-04T01:30,pendiente
I-0068,Z-22,3,emergencia_medica,2026-07-02T05:17,pendiente
I-0069,Z-27,3,inundacion,2026-07-03T16:24,pendiente
I-0070,Z-09,2,derrumbe,2026-07-02T13:06,pendiente
I-0071,Z-14,3,incendio,2026-07-02T17:34,pendiente
I-0072,Z-44,3,incendio,2026-07-01T16:03,pendiente
I-0073,Z-35,3,accidente_vehicular,2026-07-02T08:26,pendiente
I-0074,Z-23,4,emergencia_medica,2026-07-02T00:24,pendiente
I-0075,Z-17,3,emergencia_medica,2026-07-03T20:52,pendiente
I-0076,Z-41,3,fuga_gas,2026-07-02T11:32,pendiente
I-0077,Z-26,4,derrumbe,2026-07-03T00:43,pendiente
I-0078,Z-29,4,emergencia_medica,2026-07-02T20:40,pendiente
I-0079,Z-28,4,fuga_gas,2026-07-04T07:38,pendiente
I-0080,Z-14,5,emergencia_medica,2026-07-02T05:16,pendiente
I-0081,Z-07,3,fuga_gas,2026-07-03T08:43,pendiente
I-0082,Z-13,3,derrumbe,2026-07-02T15:53,pendiente
I-0083,Z-06,4,incendio,2026-07-03T12:05,pendiente
I-0084,Z-05,3,inundacion,2026-07-02T05:27,pendiente
I-0085,Z-07,5,incendio,2026-07-04T06:49,pendiente
I-0086,Z-20,3,accidente_vehicular,2026-07-03T02:54,pendiente
I-0087,Z-03,2,rescate,2026-07-03T10:16,pendiente
I-0088,Z-30,2,accidente_vehicular,2026-07-01T16:19,pendiente
I-0089,Z-21,3,fuga_gas,2026-07-01T12:03,pendiente
I-0090,Z-39,3,derrumbe,2026-07-02T08:10,pendiente
I-0091,Z-30,1,inundacion,2026-07-01T12:37,pendiente
I-0092,Z-47,5,emergencia_medica,2026-07-04T09:06,pendiente
I-0093,Z-43,4,rescate,2026-07-04T10:55,pendiente
I-0094,Z-04,4,rescate,2026-07-03T22:05,pendiente
I-0095,Z-01,2,emergencia_medica,2026-07-02T03:28,pendiente
I-0096,Z-04,5,derrumbe,2026-07-01T19:00,pendiente
I-0097,Z-42,5,rescate,2026-07-02T00:11,pendiente
I-0098,Z-44,4,derrumbe,2026-07-04T04:52,pendiente
I-0099,Z-24,5,inundacion,2026-07-02T21:17,pendiente
I-0100,Z-32,3,emergencia_medica,2026-07-03T21:07,pendiente
I-0101,Z-02,4,fuga_gas,2026-07-01T16:22,pendiente
I-0102,Z-18,5,incendio,2026-07-01T12:11,pendiente
I-0103,Z-30,2,inundacion,2026-07-02T15:19,pendiente
I-0104,Z-24,4,emergencia_medica,2026-07-01T20:10,pendiente
I-0105,Z-09,2,derrumbe,2026-07-03T02:02,pendiente
I-0106,Z-08,3,inundacion,2026-07-01T22:35,pendiente
I-0107,Z-12,2,incendio,2026-07-03T22:05,pendiente
I-0108,Z-23,5,fuga_gas,2026-07-03T06:52,pendiente
I-0109,Z-37,2,emergencia_medica,2026-07-03T12:14,pendiente
I-0110,Z-49,2,incendio,2026-07-01T14:48,pendiente
I-0111,Z-31,4,incendio,2026-07-01T17:44,pendiente
I-0112,Z-12,2,accidente_vehicular,2026-07-03T17:44,pendiente
I-0113,Z-19,2,derrumbe,2026-07-04T06:06,pendiente
I-0114,Z-35,3,rescate,2026-07-03T02:01,pendiente
I-0115,Z-03,4,incendio,2026-07-02T19:35,pendiente
I-0116,Z-50,1,inundacion,2026-07-02T21:38,pendiente
I-0117,Z-39,2,emergencia_medica,2026-07-03T12:56,pendiente
I-0118,Z-26,2,emergencia_medica,2026-07-04T09:42,pendiente
I-0119,Z-20,2,inundacion,2026-07-02T03:11,pendiente
I-0120,Z-04,2,incendio,2026-07-01T15:33,pendiente
I-0121,Z-17,4,rescate,2026-07-02T14:45,pendiente
I-0122,Z-27,2,fuga_gas,2026-07-02T11:05,pendiente
I-0123,Z-05,2,accidente_vehicular,2026-07-03T04:18,pendiente
I-0124,Z-22,2,inundacion,2026-07-03T17:46,pendiente
I-0125,Z-02,5,derrumbe,2026-07-03T20:18,pendiente
I-0126,Z-08,5,inundacion,2026-07-03T02:25,pendiente
I-0127,Z-06,2,accidente_vehicular,2026-07-03T19:13,pendiente
I-0128,Z-18,3,emergencia_medica,2026-07-03T14:52,pendiente
I-0129,Z-18,2,rescate,2026-07-01T19:33,pendiente
I-0130,Z-14,2,fuga_gas,2026-07-03T22:11,pendiente
I-0131,Z-18,2,accidente_vehicular,2026-07-02T04:09,pendiente
I-0132,Z-12,4,emergencia_medica,2026-07-04T05:18,pendiente
I-0133,Z-48,2,accidente_vehicular,2026-07-03T08:44,pendiente
I-0134,Z-23,1,rescate,2026-07-03T21:46,pendiente
I-0135,Z-07,3,derrumbe,2026-07-03T03:50,pendiente
I-0136,Z-25,2,fuga_gas,2026-07-04T07:24,pendiente
I-0137,Z-10,4,fuga_gas,2026-07-02T05:22,pendiente
I-0138,Z-15,4,derrumbe,2026-07-04T09:50,pendiente
I-0139,Z-38,5,emergencia_medica,2026-07-02T05:30,pendiente
I-0140,Z-10,5,accidente_vehicular,2026-07-02T02:39,pendiente
I-0141,Z-03,5,fuga_gas,2026-07-03T15:03,pendiente
I-0142,Z-12,3,inundacion,2026-07-03T15:49,pendiente
I-0143,Z-03,3,accidente_vehicular,2026-07-01T16:15,pendiente
I-0144,Z-17,3,inundacion,2026-07-01T22:21,pendiente
I-0145,Z-43,5,incendio,2026-07-02T04:08,pendiente
I-0146,Z-11,3,incendio,2026-07-02T21:41,pendiente
I-0147,Z-39,3,inundacion,2026-07-03T03:51,pendiente
I-0148,Z-23,1,accidente_vehicular,2026-07-02T06:56,pendiente
I-0149,Z-11,4,emergencia_medica,2026-07-04T07:57,pendiente
I-0150,Z-14,3,fuga_gas,2026-07-03T20:35,pendiente
I-0151,Z-29,4,derrumbe,2026-07-04T03:13,pendiente
I-0152,Z-03,3,inundacion,2026-07-01T12:17,pendiente
I-0153,Z-09,5,inundacion,2026-07-04T01:18,pendiente
I-0154,Z-02,5,inundacion,2026-07-04T04:25,pendiente
I-0155,Z-43,4,emergencia_medica,2026-07-02T08:28,pendiente
I-0156,Z-15,2,inundacion,2026-07-01T17:44,pendiente
I-0157,Z-14,3,fuga_gas,2026-07-02T07:38,pendiente
I-0158,Z-30,5,derrumbe,2026-07-03T22:09,pendiente
I-0159,Z-37,4,rescate,2026-07-02T05:13,pendiente
I-0160,Z-01,3,derrumbe,2026-07-03T19:08,pendiente
I-0161,Z-26,3,rescate,2026-07-03T13:28,pendiente
I-0162,Z-23,2,derrumbe,2026-07-04T11:59,pendiente
I-0163,Z-51,4,accidente_vehicular,2026-07-03T02:58,pendiente
I-0164,Z-07,5,fuga_gas,2026-07-03T17:04,pendiente
I-0165,Z-48,5,emergencia_medica,2026-07-01T19:24,pendiente
I-0166,Z-17,2,inundacion,2026-07-04T01:38,pendiente
I-0167,Z-23,3,fuga_gas,2026-07-04T00:38,pendiente
I-0168,Z-07,5,derrumbe,2026-07-03T04:32,pendiente
I-0169,Z-13,1,emergencia_medica,2026-07-03T16:28,pendiente
I-0170,Z-06,3,incendio,2026-07-02T09:04,pendiente
I-0171,Z-32,2,accidente_vehicular,2026-07-03T21:21,pendiente
I-0172,Z-40,3,derrumbe,2026-07-02T01:37,pendiente
I-0173,Z-41,3,accidente_vehicular,2026-07-03T15:28,pendiente
I-0174,Z-24,3,fuga_gas,2026-07-04T03:35,pendiente
I-0175,Z-13,5,emergencia_medica,2026-07-03T08:22,pendiente
I-0176,Z-34,5,accidente_vehicular,2026-07-03T07:56,pendiente
I-0177,Z-22,4,emergencia_medica,2026-07-02T17:58,pendiente
I-0178,Z-50,4,emergencia_medica,2026-07-01T19:43,pendiente
I-0179,Z-19,3,emergencia_medica,2026-07-02T00:58,pendiente
I-0180,Z-34,4,derrumbe,2026-07-02T15:09,pendiente
I-0181,Z-43,5,derrumbe,2026-07-04T08:54,pendiente
I-0182,Z-07,4,accidente_vehicular,2026-07-02T07:40,pendiente
I-0183,Z-19,3,accidente_vehicular,2026-07-02T13:46,pendiente
I-0184,Z-42,4,derrumbe,2026-07-04T00:11,pendiente
I-0185,Z-20,4,derrumbe,2026-07-03T22:33,pendiente
I-0186,Z-39,1,rescate,2026-07-02T01:34,pendiente
I-0187,Z-51,2,accidente_vehicular,2026-07-04T02:10,pendiente
I-0188,Z-45,3,fuga_gas,2026-07-03T13:58,pendiente
I-0189,Z-17,2,rescate,2026-07-04T07:23,pendiente
I-0190,Z-26,2,fuga_gas,2026-07-02T19:06,pendiente
I-0191,Z-16,5,derrumbe,2026-07-03T10:57,pendiente
I-0192,Z-06,4,fuga_gas,2026-07-02T05:20,pendiente
I-0193,Z-19,1,emergencia_medica,2026-07-03T23:14,pendiente
I-0194,Z-20,2,fuga_gas,2026-07-02T06:50,pendiente
I-0195,Z-33,1,emergencia_medica,2026-07-04T03:27,pendiente
I-0196,Z-16,3,emergencia_medica,2026-07-04T00:41,pendiente
I-0197,Z-30,4,derrumbe,2026-07-02T02:43,pendiente
I-0198,Z-48,3,fuga_gas,2026-07-02T00:47,pendiente
I-0199,Z-17,1,fuga_gas,2026-07-01T19:06,pendiente
I-0200,Z-12,3,inundacion,2026-07-01T17:01,pendiente
I-0201,Z-42,4,fuga_gas,2026-07-02T21:51,pendiente
I-0202,Z-11,5,accidente_vehicular,2026-07-01T13:42,pendiente
I-0203,Z-13,4,rescate,2026-07-02T06:11,pendiente
I-0204,Z-35,4,accidente_vehicular,2026-07-02T19:14,pendiente
I-0205,Z-30,4,inundacion,2026-07-02T14:37,pendiente
I-0206,Z-42,2,incendio,2026-07-04T06:32,pendiente
I-0207,Z-14,3,incendio,2026-07-03T12:27,pendiente
I-0208,Z-38,3,emergencia_medica,2026-07-03T18:05,pendiente
I-0209,Z-48,3,fuga_gas,2026-07-02T08:38,pendiente
I-0210,Z-10,2,derrumbe,2026-07-02T21:40,pendiente
I-0211,Z-08,2,rescate,2026-07-02T15:06,pendiente
I-0212,Z-03,1,derrumbe,2026-07-01T19:41,pendiente
I-0213,Z-11,1,rescate,2026-07-04T05:35,pendiente
I-0214,Z-03,5,inundacion,2026-07-03T18:00,pendiente
I-0215,Z-03,3,accidente_vehicular,2026-07-03T10:53,pendiente
I-0216,Z-03,2,inundacion,2026-07-03T18:15,pendiente
I-0217,Z-22,2,incendio,2026-07-03T17:49,pendiente
I-0218,Z-43,3,inundacion,2026-07-04T08:40,pendiente
I-0219,Z-51,5,inundacion,2026-07-03T22:05,pendiente
I-0220,Z-39,2,incendio,2026-07-02T10:47,pendiente
I-0221,Z-03,2,inundacion,2026-07-02T22:17,pendiente
I-0222,Z-08,4,fuga_gas,2026-07-03T20:26,pendiente
I-0223,Z-28,2,derrumbe,2026-07-03T09:24,pendiente
I-0224,Z-02,3,rescate,2026-07-04T04:06,pendiente
I-0225,Z-04,4,incendio,2026-07-01T20:40,pendiente
I-0226,Z-19,4,rescate,2026-07-04T01:29,pendiente
I-0227,Z-07,4,fuga_gas,2026-07-03T17:32,pendiente
I-0228,Z-44,5,emergencia_medica,2026-07-02T12:09,pendiente
I-0229,Z-21,4,inundacion,2026-07-01T15:30,pendiente
I-0230,Z-11,4,accidente_vehicular,2026-07-02T02:00,pendiente
I-0231,Z-37,5,emergencia_medica,2026-07-04T09:53,pendiente
I-0232,Z-05,5,inundacion,2026-07-03T04:29,pendiente
I-0233,Z-38,1,incendio,2026-07-02T20:01,pendiente
I-0234,Z-39,2,accidente_vehicular,2026-07-03T07:04,pendiente
I-0235,Z-11,4,rescate,2026-07-04T10:34,pendiente
I-0236,Z-14,2,inundacion,2026-07-01T14:31,pendiente
I-0237,Z-40,3,emergencia_medica,2026-07-02T17:35,pendiente
I-0238,Z-30,2,fuga_gas,2026-07-03T18:52,pendiente
I-0239,Z-02,4,rescate,2026-07-01T15:03,pendiente
I-0240,Z-19,4,rescate,2026-07-04T00:19,pendiente
I-0241,Z-06,4,inundacion,2026-07-02T02:21,pendiente
I-0242,Z-08,3,emergencia_medica,2026-07-03T07:41,pendiente
I-0243,Z-48,1,emergencia_medica,2026-07-02T13:34,pendiente
I-0244,Z-16,4,accidente_vehicular,2026-07-03T00:59,pendiente
I-0245,Z-43,4,rescate,2026-07-03T23:31,pendiente
I-0246,Z-38,5,incendio,2026-07-03T04:52,pendiente
I-0247,Z-42,4,emergencia_medica,2026-07-03T19:05,pendiente
I-0248,Z-18,4,emergencia_medica,2026-07-04T05:13,pendiente
I-0249,Z-14,4,accidente_vehicular,2026-07-02T14:47,pendiente
I-0250,Z-43,4,inundacion,2026-07-03T04:34,pendiente
I-0251,Z-23,3,fuga_gas,2026-07-04T03:57,pendiente
I-0252,Z-04,4,emergencia_medica,2026-07-02T15:17,pendiente
I-0253,Z-03,3,emergencia_medica,2026-07-02T14:17,pendiente
I-0254,Z-08,5,incendio,2026-07-02T17:10,pendiente
I-0255,Z-44,5,fuga_gas,2026-07-04T08:01,pendiente
I-0256,Z-35,2,fuga_gas,2026-07-01T21:48,pendiente
I-0257,Z-26,3,fuga_gas,2026-07-02T09:43,pendiente
I-0258,Z-39,5,derrumbe,2026-07-03T07:01,pendiente
I-0259,Z-41,2,accidente_vehicular,2026-07-01T19:59,pendiente
I-0260,Z-32,2,derrumbe,2026-07-03T09:10,pendiente
I-0261,Z-49,5,incendio,2026-07-02T02:41,pendiente
I-0262,Z-13,1,inundacion,2026-07-03T22:50,pendiente
I-0263,Z-19,5,inundacion,2026-07-02T20:07,pendiente
I-0264,Z-24,2,emergencia_medica,2026-07-03T19:05,pendiente
I-0265,Z-02,4,inundacion,2026-07-03T23:26,pendiente
I-0266,Z-23,3,rescate,2026-07-02T05:54,pendiente
I-0267,Z-12,3,derrumbe,2026-07-01T16:36,pendiente
I-0268,Z-36,4,incendio,2026-07-03T19:00,pendiente
I-0269,Z-18,2,emergencia_medica,2026-07-01T17:13,pendiente
I-0270,Z-51,4,fuga_gas,2026-07-02T12:35,pendiente
I-0271,Z-08,4,emergencia_medica,2026-07-03T05:01,pendiente
I-0272,Z-22,3,inundacion,2026-07-03T00:07,pendiente
I-0273,Z-49,2,emergencia_medica,2026-07-03T07:34,pendiente
I-0274,Z-18,5,fuga_gas,2026-07-03T13:02,pendiente
I-0275,Z-17,3,fuga_gas,2026-07-02T10:20,pendiente
I-0276,Z-02,3,inundacion,2026-07-01T17:58,pendiente
I-0277,Z-23,5,emergencia_medica,2026-07-04T02:02,pendiente
I-0278,Z-04,3,incendio,2026-07-03T08:59,pendiente
I-0279,Z-09,1,incendio,2026-07-01T15:25,pendiente
I-0280,Z-21,1,rescate,2026-07-02T21:44,pendiente
I-0281,Z-27,5,rescate,2026-07-02T19:22,pendiente
I-0282,Z-10,2,derrumbe,2026-07-03T22:44,pendiente
I-0283,Z-51,3,inundacion,2026-07-03T17:20,pendiente
I-0284,Z-31,4,accidente_vehicular,2026-07-04T09:41,pendiente
I-0285,Z-36,4,fuga_gas,2026-07-03T02:58,pendiente
I-0286,Z-38,3,inundacion,2026-07-02T17:24,pendiente
I-0287,Z-08,5,emergencia_medica,2026-07-03T03:50,pendiente
I-0288,Z-29,4,derrumbe,2026-07-02T02:06,pendiente
I-0289,Z-38,3,emergencia_medica,2026-07-01T14:50,pendiente
I-0290,Z-20,3,incendio,2026-07-04T05:20,pendiente
I-0291,Z-37,4,inundacion,2026-07-01T15:35,pendiente
I-0292,Z-22,4,accidente_vehicular,2026-07-04T02:02,pendiente
I-0293,Z-50,3,emergencia_medica,2026-07-02T10:40,pendiente
I-0294,Z-39,5,accidente_vehicular,2026-07-03T20:18,pendiente
I-0295,Z-47,3,derrumbe,2026-07-03T04:25,pendiente
I-0296,Z-28,2,emergencia_medica,2026-07-03T12:42,pendiente
I-0297,Z-33,4,emergencia_medica,2026-07-03T22:18,pendiente
I-0298,Z-03,2,derrumbe,2026-07-04T01:57,pendiente
I-0299,Z-23,1,inundacion,2026-07-01T14:05,pendiente
I-0300,Z-26,4,rescate,2026-07-04T01:53,pendiente
I-0301,Z-08,5,derrumbe,2026-07-04T00:26,pendiente
I-0302,Z-44,4,accidente_vehicular,2026-07-02T13:55,pendiente
I-0303,Z-39,2,inundacion,2026-07-02T10:08,pendiente
I-0304,Z-10,5,emergencia_medica,2026-07-02T00:39,pendiente
I-0305,Z-05,2,incendio,2026-07-03T02:38,pendiente
I-0306,Z-02,3,fuga_gas,2026-07-02T12:01,pendiente
I-0307,Z-37,4,fuga_gas,2026-07-03T18:52,pendiente
I-0308,Z-48,5,inundacion,2026-07-03T06:33,pendiente
I-0309,Z-34,4,incendio,2026-07-03T19:51,pendiente
I-0310,Z-23,3,emergencia_medica,2026-07-02T16:23,pendiente
I-0311,Z-18,1,inundacion,2026-07-02T16:32,pendiente
I-0312,Z-12,4,fuga_gas,2026-07-03T03:49,pendiente
I-0313,Z-10,3,emergencia_medica,2026-07-02T06:27,pendiente
I-0314,Z-04,5,fuga_gas,2026-07-03T02:11,pendiente
I-0315,Z-03,4,derrumbe,2026-07-02T07:32,pendiente
I-0316,Z-05,3,emergencia_medica,2026-07-02T22:30,pendiente
I-0317,Z-43,3,accidente_vehicular,2026-07-02T10:30,pendiente
I-0318,Z-19,1,fuga_gas,2026-07-02T00:11,pendiente
I-0319,Z-47,4,incendio,2026-07-03T22:26,pendiente
I-0320,Z-20,1,derrumbe,2026-07-01T15:05,pendiente
I-0321,Z-51,1,rescate,2026-07-01T22:33,pendiente
I-0322,Z-23,2,derrumbe,2026-07-02T09:55,pendiente
I-0323,Z-30,4,emergencia_medica,2026-07-02T16:44,pendiente
I-0324,Z-37,2,fuga_gas,2026-07-01T12:05,pendiente
I-0325,Z-06,5,fuga_gas,2026-07-02T23:12,pendiente
I-0326,Z-32,4,incendio,2026-07-04T01:37,pendiente
I-0327,Z-12,2,incendio,2026-07-02T10:00,pendiente
I-0328,Z-17,2,emergencia_medica,2026-07-02T18:16,pendiente
I-0329,Z-37,1,rescate,2026-07-02T13:06,pendiente
I-0330,Z-02,5,incendio,2026-07-02T12:58,pendiente
I-0331,Z-01,3,rescate,2026-07-03T07:35,pendiente
I-0332,Z-41,3,fuga_gas,2026-07-02T12:43,pendiente
I-0333,Z-39,4,fuga_gas,2026-07-03T09:08,pendiente
I-0334,Z-23,4,fuga_gas,2026-07-03T07:48,pendiente
I-0335,Z-38,3,inundacion,2026-07-04T11:45,pendiente
I-0336,Z-18,4,incendio,2026-07-03T09:57,pendiente
I-0337,Z-19,5,inundacion,2026-07-03T13:18,pendiente
I-0338,Z-51,5,inundacion,2026-07-03T13:08,pendiente
I-0339,Z-26,3,fuga_gas,2026-07-01T14:37,pendiente
I-0340,Z-01,2,emergencia_medica,2026-07-03T23:27,pendiente
I-0341,Z-05,4,accidente_vehicular,2026-07-03T20:03,pendiente
I-0342,Z-42,5,rescate,2026-07-02T01:25,pendiente
I-0343,Z-39,5,inundacion,2026-07-03T08:14,pendiente
I-0344,Z-32,2,rescate,2026-07-03T04:51,pendiente
I-0345,Z-11,5,inundacion,2026-07-02T09:10,pendiente
I-0346,Z-03,2,fuga_gas,2026-07-04T08:44,pendiente
I-0347,Z-38,3,derrumbe,2026-07-03T19:19,pendiente
I-0348,Z-03,3,fuga_gas,2026-07-03T20:40,pendiente
I-0349,Z-44,3,accidente_vehicular,2026-07-01T22:37,pendiente
I-0350,Z-35,3,incendio,2026-07-03T03:36,pendiente
I-0351,Z-45,5,rescate,2026-07-01T16:53,pendiente
I-0352,Z-51,2,fuga_gas,2026-07-03T14:23,pendiente
I-0353,Z-13,3,inundacion,2026-07-02T23:36,pendiente
I-0354,Z-34,5,accidente_vehicular,2026-07-04T09:34,pendiente
I-0355,Z-17,4,inundacion,2026-07-03T11:44,pendiente
I-0356,Z-35,2,rescate,2026-07-02T09:22,pendiente
I-0357,Z-18,4,rescate,2026-07-02T20:06,pendiente
I-0358,Z-30,5,fuga_gas,2026-07-03T02:30,pendiente
I-0359,Z-04,4,derrumbe,2026-07-02T18:48,pendiente
I-0360,Z-06,2,emergencia_medica,2026-07-03T11:03,pendiente
I-0361,Z-47,1,fuga_gas,2026-07-01T21:25,pendiente
I-0362,Z-02,3,inundacion,2026-07-02T07:36,pendiente
I-0363,Z-32,2,derrumbe,2026-07-01T17:11,pendiente
I-0364,Z-07,5,rescate,2026-07-03T09:18,pendiente
I-0365,Z-11,5,derrumbe,2026-07-02T10:38,pendiente
I-0366,Z-41,4,incendio,2026-07-02T04:02,pendiente
I-0367,Z-38,4,emergencia_medica,2026-07-03T06:00,pendiente
I-0368,Z-10,3,emergencia_medica,2026-07-01T14:11,pendiente
I-0369,Z-10,3,inundacion,2026-07-02T22:18,pendiente
I-0370,Z-20,3,incendio,2026-07-04T05:54,pendiente
I-0371,Z-16,4,accidente_vehicular,2026-07-02T16:23,pendiente
I-0372,Z-35,4,inundacion,2026-07-04T07:00,pendiente
I-0373,Z-13,3,derrumbe,2026-07-01T15:42,pendiente
I-0374,Z-23,4,accidente_vehicular,2026-07-01T21:38,pendiente
I-0375,Z-35,3,derrumbe,2026-07-02T08:51,pendiente
I-0376,Z-39,3,accidente_vehicular,2026-07-02T21:12,pendiente
I-0377,Z-51,5,accidente_vehicular,2026-07-04T00:41,pendiente
I-0378,Z-09,2,derrumbe,2026-07-02T14:46,pendiente
I-0379,Z-49,4,fuga_gas,2026-07-02T15:07,pendiente
I-0380,Z-37,1,accidente_vehicular,2026-07-03T04:24,pendiente
I-0381,Z-03,4,rescate,2026-07-01T22:39,pendiente
I-0382,Z-32,3,fuga_gas,2026-07-02T07:21,pendiente
I-0383,Z-46,2,fuga_gas,2026-07-01T12:43,pendiente
I-0384,Z-38,1,inundacion,2026-07-03T06:05,pendiente
I-0385,Z-43,1,derrumbe,2026-07-01T21:35,pendiente
I-0386,Z-15,4,inundacion,2026-07-02T12:53,pendiente
I-0387,Z-39,5,incendio,2026-07-02T01:15,pendiente
I-0388,Z-29,3,inundacion,2026-07-01T14:44,pendiente
I-0389,Z-48,3,fuga_gas,2026-07-01T15:46,pendiente
I-0390,Z-33,2,incendio,2026-07-02T18:21,pendiente
I-0391,Z-18,2,accidente_vehicular,2026-07-02T17:20,pendiente
I-0392,Z-33,1,rescate,2026-07-04T10:06,pendiente
I-0393,Z-37,2,accidente_vehicular,2026-07-03T23:19,pendiente
I-0394,Z-21,3,incendio,2026-07-02T09:39,pendiente
I-0395,Z-23,2,derrumbe,2026-07-02T19:42,pendiente
I-0396,Z-19,4,inundacion,2026-07-03T01:46,pendiente
I-0397,Z-30,3,incendio,2026-07-02T15:45,pendiente
I-0398,Z-12,3,emergencia_medica,2026-07-03T08:38,pendiente
I-0399,Z-17,3,inundacion,2026-07-02T04:26,pendiente
I-0400,Z-46,4,derrumbe,2026-07-02T15:17,pendiente
I-0401,Z-08,3,rescate,2026-07-02T05:20,pendiente
I-0402,Z-26,2,inundacion,2026-07-02T21:30,pendiente
I-0403,Z-33,4,incendio,2026-07-02T18:17,pendiente
I-0404,Z-43,3,accidente_vehicular,2026-07-03T15:54,pendiente
I-0405,Z-51,4,incendio,2026-07-03T05:11,pendiente
I-0406,Z-02,5,emergencia_medica,2026-07-03T10:57,pendiente
I-0407,Z-32,3,rescate,2026-07-04T10:30,pendiente
